ubigeo,epiweek,historical_nfalciparum,year,pred_falciparum_mean,risk,alarm
160101,19,11,2019,16.785165,0.618,Mediano Riesgo
160102,19,5.2,2019,8.819876664,0.678,Mediano Riesgo
160103,19,0.2,2019,0.630342781,0.929,Alto riesgo
160104,19,1.6,2019,1.590738602,0.355,Bajo Riesgo
160105,19,0,2019,0.298133754,1,Alto riesgo
160106,19,3,2019,14.61475066,0.981,Alto riesgo
160107,19,8.2,2019,12.53450948,0.62,Mediano Riesgo
160108,19,8.2,2019,12.47859113,0.617,Mediano Riesgo
160109,19,0.2,2019,0.133045909,0.156,Bajo Riesgo
160110,19,10.8,2019,3.983156003,0.032,Bajo Riesgo
160112,19,2.2,2019,2.667105681,0.476,Bajo Riesgo
160113,19,19.6,2019,39.39051448,0.764,Mediano Riesgo
160114,19,1.4,2019,0.564995536,0.041,Bajo Riesgo
160201,19,0.2,2019,14.16177365,1,Alto riesgo
160202,19,0.2,2019,16.5715498,1,Alto riesgo
160205,19,0,2019,0.052803339,1,Alto riesgo
160206,19,1.2,2019,3.39058041,0.902,Alto riesgo
160210,19,0,2019,0.159003216,1,Alto riesgo
160211,19,0,2019,0.860178276,1,Alto riesgo
160301,19,2.4,2019,1.897778269,0.225,Bajo Riesgo
160302,19,0.2,2019,0.679452612,0.941,Alto riesgo
160303,19,18.6,2019,21.36145788,0.448,Bajo Riesgo
160304,19,15.4,2019,13.87397568,0.298,Bajo Riesgo
160305,19,17.8,2019,14.38637659,0.235,Bajo Riesgo
160401,19,4.2,2019,5.199638085,0.489,Bajo Riesgo
160402,19,0.2,2019,1.175243525,0.99,Alto riesgo
160403,19,12.2,2019,14.1800118,0.451,Bajo Riesgo
160404,19,0.2,2019,0.561512294,0.89,Alto riesgo
160501,19,0.2,2019,0.218525457,0.408,Bajo Riesgo
160502,19,1,2019,0.736101777,0.196,Bajo Riesgo
160503,19,0,2019,0.013049873,1,Alto riesgo
160504,19,0,2019,0.204516776,1,Alto riesgo
160505,19,0,2019,0.033765132,1,Alto riesgo
160506,19,0,2019,0.024968132,1,Alto riesgo
160507,19,0,2019,0.028428923,1,Alto riesgo
160508,19,0.6,2019,2.190251211,0.955,Alto riesgo
160509,19,0,2019,0.088729898,1,Alto riesgo
160510,19,0.4,2019,0.025722212,0,Bajo Riesgo
160511,19,2.4,2019,4.187012916,0.689,Mediano Riesgo
160601,19,0,2019,0.021819778,1,Alto riesgo
160602,19,0,2019,0.002205075,1,Alto riesgo
160603,19,0,2019,0.004569425,1,Alto riesgo
160604,19,0,2019,0.005353074,1,Alto riesgo
160605,19,0,2019,0.023421923,1,Alto riesgo
160606,19,0,2019,0.006427346,1,Alto riesgo
160701,19,0.4,2019,1.61017315,0.965,Alto riesgo
160702,19,0,2019,1.546176579,1,Alto riesgo
160703,19,0.4,2019,2.397243987,0.991,Alto riesgo
160704,19,1,2019,7.880055303,0.995,Alto riesgo
160705,19,20.6,2019,22.62426458,0.419,Bajo Riesgo
160706,19,61.2,2019,35.68444919,0.107,Bajo Riesgo
